name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
ratio_quantity.East of England,15,15,15,15,15,21,0.23983366568075457,1.4422793904994315,0.5838614828013523,0.00245602975902943,3.2886281475707935,-3.286172117811764,-1338.0017508869228
ratio_quantity.London,15,15,15,15,15,23,0.1461372586084097,2.9297238251899245,0.5192971878323216,0.001134990714227297,1.971029752765542,-1.9698947620513148,-1735.604298218793
ratio_quantity.Midlands,1,15,15,15,15,15,0.2502357214160258,0.9716689877450457,0.5333333333333333,0.007296138272887777,3.760831959513275,-3.753535821240387,-514.4551378896435
ratio_quantity.North East and Yorkshire,1,15,15,15,15,15,0.24464093208956397,0.06676032975197219,0.5333333333333333,3.4198246719368597,3.6644656040264234,-0.24464093208956372,-0.07153610361872977
ratio_quantity.North West,4,15,15,15,15,22,0.24020744321880105,2.141088614165438,0.5587353726675003,0.0025723978983213016,3.4418741492373672,-3.439301751339046,-1337.0022396548643
ratio_quantity.South East,3,15,15,15,15,16,0.2620372122512298,1.2232899036855491,0.5630766381265966,0.003527915541979205,3.7264628698039735,-3.7229349542619943,-1055.278934532934
ratio_quantity.South West,3,14,14,14,14,16,0.27993492735073,0.08365417896905411,0.5170717408111307,3.125873020323666,3.7872596898715924,-0.6613866695479262,-0.21158462459855246
