name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
ratio_quantity.East of England,1,18,18,18,18,18,2.391634644828741e-9,0.531495270472274,0.5185185185185186,2.1081883596235696e-9,6.668232376999958e-8,-6.457413541037601e-8,-30.63015461384396
ratio_quantity.London,2,18,18,18,18,18,1.1906205251660281e-9,0.5234815903901521,0.5217998336286124,1.0838062111756564e-9,2.1619620973663684e-8,-2.0535814762488027e-8,-18.947865910651913
ratio_quantity.Midlands,2,17,17,17,17,17,3.1982800970797636e-9,0.44375256077335057,0.5243613056723968,4.009070079121936e-9,5.890351130187202e-8,-5.4894441222750084e-8,-13.692562150166511
ratio_quantity.North East and Yorkshire,2,17,17,17,17,17,4.307041180736935e-9,0.45088126419689667,0.5477138044484536,5.245454171689332e-9,8.388216454407284e-8,-7.863671037238351e-8,-14.99140165913566
ratio_quantity.North West,4,14,14,14,14,22,1.325715383055847e-8,2.8926528427653997,0.5824201450705238,2.311134564696739e-9,1.1612204875408482e-7,-1.1381091418938808e-7,-49.24460735773818
ratio_quantity.South East,1,16,16,16,16,16,1.6417155354885476e-9,0.3915712315460357,0.5172413793103448,2.5509201926434276e-9,5.0160670721811304e-8,-4.760975052916788e-8,-18.663755403430162
ratio_quantity.South West,1,3,3,3,3,3,2.5047082702926996e-9,0.7498439982884052,0.5238095238095237,8.355975479974375e-10,1.0603334490029083e-7,-1.0519774735229339e-7,-125.89523222561681
