month,regional_team,chemical,bnf_name,items,quantity,total_list_size,rate
2020-04-01,Y60,Atorvastatin,Atorvastatin 10mg/5ml oral liquid,7,1710.0,11355951,6.164168901398043e-07
2020-04-01,Y63,Atorvastatin,Atorvastatin 20mg tablets,359010,10626009.0,8941089,0.040152827021406455
2020-04-01,Y62,Atorvastatin,Lipitor 80mg tablets,112,3488.0,7586757,1.4762565876302615e-05
2020-04-01,Y60,Atorvastatin,Atorvastatin 10mg tablets,126022,4196279.0,11355951,0.01109744133274263
2020-04-01,Y60,Atorvastatin,Lipitor 20mg tablets,558,19247.0,11355951,4.9137232099715824e-05
2020-04-01,Y58,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,11,1960.0,5886551,1.8686663888582636e-06
2020-04-01,Y56,Atorvastatin,Atorvastatin 40mg tablets,179919,5114696.0,10298573,0.017470284475334594
2020-04-01,Y56,Atorvastatin,Atorvastatin 10mg/5ml oral liquid,2,800.0,10298573,1.942016626963755e-07
2020-04-01,Y56,Atorvastatin,Lipitor 20mg chewable tablets,8,402.0,10298573,7.76806650785502e-07
2020-04-01,Y56,Atorvastatin,Atorvastatin 10mg tablets,66756,2422487.0,10298573,0.006482063097479621
2020-04-01,Y58,Atorvastatin,Atorvastatin 10mg chewable tablets sugar free,34,1265.0,5886551,5.775877929198269e-06
2020-04-01,Y56,Atorvastatin,Lipitor 10mg chewable tablets,5,260.0,10298573,4.855041567409388e-07
2020-04-01,Y61,Atorvastatin,Lipitor 20mg chewable tablets,5,234.0,6965534,7.178200551458079e-07
2020-04-01,Y59,Atorvastatin,Atorvastatin 20mg tablets,223859,8472369.0,9423436,0.02375556007384143
2020-04-01,Y60,Atorvastatin,Lipitor 80mg tablets,109,3500.0,11355951,9.598491575034095e-06
2020-04-01,Y61,Atorvastatin,Lipitor 80mg tablets,37,1400.0,6965534,5.311868408078979e-06
2020-04-01,Y59,Atorvastatin,Atorvastatin 20mg chewable tablets sugar free,176,8255.0,9423436,1.8676839318482132e-05
2020-04-01,Y56,Atorvastatin,Atorvastatin 20mg/5ml oral solution,6,1250.0,10298573,5.826049880891265e-07
2020-04-01,Y63,Atorvastatin,Lipitor 10mg tablets,387,12512.0,8941089,4.328331817298765e-05
2020-04-01,Y60,Atorvastatin,Atorvastatin 20mg/5ml oral suspension,48,10890.0,11355951,4.226858675244372e-06
2020-04-01,Y60,Atorvastatin,Lipitor 20mg chewable tablets,10,358.0,11355951,8.805955573425775e-07
2020-04-01,Y59,Atorvastatin,Lipitor 20mg chewable tablets,36,1106.0,9423436,3.820262587871346e-06
2020-04-01,Y62,Atorvastatin,Lipitor 20mg chewable tablets,8,380.0,7586757,1.0544689911644725e-06
2020-04-01,Y59,Atorvastatin,Atorvastatin 20mg/5ml oral solution,4,600.0,9423436,4.2447362087459396e-07
2020-04-01,Y60,Atorvastatin,Atorvastatin 60mg tablets,262,7822.0,11355951,2.307160360237553e-05
2020-04-01,Y62,Atorvastatin,Atorvastatin 80mg tablets,75586,2163284.0,7586757,0.009962886645769728
2020-04-01,Y61,Atorvastatin,Atorvastatin 20mg tablets,215243,6802275.0,6965534,0.030901148425949827
2020-04-01,Y56,Atorvastatin,Lipitor 40mg tablets,217,8918.0,10298573,2.1070880402556742e-05
2020-04-01,Y59,Atorvastatin,Atorvastatin 80mg tablets,56143,1891850.0,9423436,0.005957805624190582
2020-04-01,Y58,Atorvastatin,Lipitor 40mg tablets,245,8169.0,5886551,4.1620296842752233e-05
2020-04-01,Y59,Atorvastatin,Lipitor 10mg chewable tablets,12,284.0,9423436,1.2734208626237818e-06
2020-04-01,Y62,Atorvastatin,Lipitor 20mg tablets,292,10948.0,7586757,3.8488118177503246e-05
2020-04-01,Y58,Atorvastatin,Atorvastatin 10mg tablets,55734,1858685.0,5886551,0.00946802295605695
2020-04-01,Y62,Atorvastatin,Lipitor 10mg tablets,341,13160.0,7586757,4.4946740748385644e-05
2020-04-01,Y58,Atorvastatin,Lipitor 20mg chewable tablets,9,352.0,5886551,1.5289088636113066e-06
2020-04-01,Y62,Atorvastatin,Atorvastatin 40mg tablets,154455,4808064.0,7586757,0.020358501003788575
2020-04-01,Y63,Atorvastatin,Atorvastatin 30mg tablets,91,2856.0,8941089,1.0177731146619835e-05
